Created from ECC_para_cor_17171717.fits at 2026-05-29 21:39:16.745455
 Channel energy edges obtained from elut_creator.py
Offset (ADC),Gain (keV/ADC),Pixel,Detector,ADC Edge #0 - 4 keV,ADC Edge #1 - 5 keV,ADC Edge #2 - 6 keV,ADC Edge #3 - 7 keV,ADC Edge #4 - 8 keV,ADC Edge #5 - 9 keV,ADC Edge #6 - 10 keV,ADC Edge #7 - 11 keV,ADC Edge #8 - 12 keV,ADC Edge #9 - 13 keV,ADC Edge #10 - 14 keV,ADC Edge #11 - 15 keV,ADC Edge #12 - 16 keV,ADC Edge #13 - 18 keV,ADC Edge #14 - 20 keV,ADC Edge #15 - 22 keV,ADC Edge #16 - 25 keV,ADC Edge #17 - 28 keV,ADC Edge #18 - 32 keV,ADC Edge #19 - 36 keV,ADC Edge #20 - 40 keV,ADC Edge #21 - 45 keV,ADC Edge #22 - 50 keV,ADC Edge #23 - 56 keV,ADC Edge #24 - 63 keV,ADC Edge #25 - 70 keV,ADC Edge #26 - 76 keV,ADC Edge #27 - 84 keV,ADC Edge #28 - 100 keV,ADC Edge #29 - 120 keV,ADC Edge #30 - 150 keV
905.3149,0.109915815,9,8,942,951,960,969,978,987,996,1005,1014,1024,1033,1042,1051,1069,1087,1105,1133,1160,1196,1233,1269,1315,1360,1415,1478,1542,1597,1670,1815,1997,2270
894.84717,0.1096365,10,8,931,940,950,959,968,977,986,995,1004,1013,1023,1032,1041,1059,1077,1096,1123,1150,1187,1223,1260,1305,1351,1406,1469,1533,1588,1661,1807,1989,2263
888.36194,0.10887115,11,8,925,934,943,953,962,971,980,989,999,1008,1017,1026,1035,1054,1072,1090,1118,1146,1182,1219,1256,1302,1348,1403,1467,1531,1586,1660,1807,1991,2266
890.57477,0.11019354,0,9,927,936,945,954,963,972,981,990,999,1009,1018,1027,1036,1054,1072,1090,1117,1145,1181,1217,1254,1299,1344,1399,1462,1526,1580,1653,1798,1980,2252
888.4647,0.108988576,1,9,925,934,944,953,962,971,980,989,999,1008,1017,1026,1035,1054,1072,1090,1118,1145,1182,1219,1255,1301,1347,1402,1467,1531,1586,1659,1806,1989,2265
890.1559,0.10925913,2,9,927,936,945,954,963,973,982,991,1000,1009,1018,1027,1037,1055,1073,1092,1119,1146,1183,1220,1256,1302,1348,1403,1467,1531,1586,1659,1805,1988,2263
889.5901,0.11022344,3,9,926,935,944,953,962,971,980,989,998,1008,1017,1026,1035,1053,1071,1089,1116,1144,1180,1216,1252,1298,1343,1398,1461,1525,1579,1652,1797,1978,2250
891.1308,0.1100582,4,9,927,937,946,955,964,973,982,991,1000,1009,1018,1027,1037,1055,1073,1091,1118,1146,1182,1218,1255,1300,1345,1400,1464,1527,1582,1654,1800,1981,2254
890.3221,0.110266075,5,9,927,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1054,1072,1090,1117,1144,1181,1217,1253,1298,1344,1398,1462,1525,1580,1652,1797,1979,2251
892.2116,0.1095217,6,9,929,938,947,956,965,974,984,993,1002,1011,1020,1029,1038,1057,1075,1093,1120,1148,1184,1221,1257,1303,1349,1404,1467,1531,1586,1659,1805,1988,2262
888.4539,0.11001347,7,9,925,934,943,952,961,970,979,988,998,1007,1016,1025,1034,1052,1070,1088,1116,1143,1179,1216,1252,1297,1343,1397,1461,1525,1579,1652,1797,1979,2252
877.2327,0.11014519,8,9,914,923,932,941,950,959,968,977,986,995,1004,1013,1022,1041,1059,1077,1104,1131,1168,1204,1240,1286,1331,1386,1449,1513,1567,1640,1785,1967,2239
890.78284,0.10955258,9,9,927,936,946,955,964,973,982,991,1000,1009,1019,1028,1037,1055,1073,1092,1119,1146,1183,1219,1256,1302,1347,1402,1466,1530,1585,1658,1804,1986,2260
884.4686,0.110330544,10,9,921,930,939,948,957,966,975,984,993,1002,1011,1020,1029,1048,1066,1084,1111,1138,1175,1211,1247,1292,1338,1392,1455,1519,1573,1646,1791,1972,2244
881.976,0.10953843,11,9,918,928,937,946,955,964,973,982,992,1001,1010,1019,1028,1046,1065,1083,1110,1138,1174,1211,1247,1293,1338,1393,1457,1521,1576,1649,1795,1977,2251
915.4347,0.110139854,0,10,952,961,970,979,988,997,1006,1015,1024,1033,1043,1052,1061,1079,1097,1115,1142,1170,1206,1242,1279,1324,1369,1424,1487,1551,1605,1678,1823,2005,2277
919.3256,0.11013061,1,10,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1056,1065,1083,1101,1119,1146,1174,1210,1246,1283,1328,1373,1428,1491,1555,1609,1682,1827,2009,2281
913.9083,0.110857226,2,10,950,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1058,1076,1094,1112,1139,1166,1203,1239,1275,1320,1365,1419,1482,1545,1599,1672,1816,1996,2267
911.65015,0.11060894,3,10,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1056,1074,1092,1111,1138,1165,1201,1237,1273,1318,1364,1418,1481,1545,1599,1671,1816,1997,2268
913.4512,0.10957941,4,10,950,959,968,977,986,996,1005,1014,1023,1032,1041,1050,1059,1078,1096,1114,1142,1169,1205,1242,1278,1324,1370,1424,1488,1552,1607,1680,1826,2009,2282
909.5944,0.11067912,5,10,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1072,1090,1108,1135,1163,1199,1235,1271,1316,1361,1416,1479,1542,1596,1669,1813,1994,2265
923.18304,0.111055814,6,10,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1058,1067,1085,1103,1121,1148,1175,1211,1247,1283,1328,1373,1427,1490,1553,1608,1680,1824,2004,2274
908.49426,0.10978643,7,10,945,954,963,972,981,990,1000,1009,1018,1027,1036,1045,1054,1072,1091,1109,1136,1164,1200,1236,1273,1318,1364,1419,1482,1546,1601,1674,1819,2002,2275
905.21967,0.11104236,8,10,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1067,1085,1103,1130,1157,1193,1229,1265,1310,1355,1410,1473,1536,1590,1662,1806,1986,2256
919.0378,0.111276746,9,10,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1063,1081,1099,1117,1144,1171,1207,1243,1279,1323,1368,1422,1485,1548,1602,1674,1818,1997,2267
896.83716,0.110415995,10,10,933,942,951,960,969,978,987,996,1006,1015,1024,1033,1042,1060,1078,1096,1123,1150,1187,1223,1259,1304,1350,1404,1467,1531,1585,1658,1803,1984,2255
927.57697,0.109059215,11,10,964,973,983,992,1001,1010,1019,1028,1038,1047,1056,1065,1074,1093,1111,1129,1157,1184,1221,1258,1294,1340,1386,1441,1505,1569,1624,1698,1845,2028,2303
905.6437,0.11020288,0,11,942,951,960,969,978,987,996,1005,1015,1024,1033,1042,1051,1069,1087,1105,1132,1160,1196,1232,1269,1314,1359,1414,1477,1541,1595,1668,1813,1995,2267
923.7305,0.110780194,1,11,960,969,978,987,996,1005,1014,1023,1032,1041,1050,1059,1068,1086,1104,1122,1149,1176,1213,1249,1285,1330,1375,1429,1492,1556,1610,1682,1826,2007,2278
911.15594,0.11106731,2,11,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1055,1073,1091,1109,1136,1163,1199,1235,1271,1316,1361,1415,1478,1541,1595,1667,1812,1992,2262
914.54846,0.110352,3,11,951,960,969,978,987,996,1005,1014,1023,1032,1041,1050,1060,1078,1096,1114,1141,1168,1205,1241,1277,1322,1368,1422,1485,1549,1603,1676,1821,2002,2274
917.1624,0.11021848,4,11,953,963,972,981,990,999,1008,1017,1026,1035,1044,1053,1062,1080,1099,1117,1144,1171,1207,1244,1280,1325,1371,1425,1489,1552,1607,1679,1824,2006,2278
904.90295,0.10997197,5,11,941,950,959,969,978,987,996,1005,1014,1023,1032,1041,1050,1069,1087,1105,1132,1160,1196,1232,1269,1314,1360,1414,1478,1541,1596,1669,1814,1996,2269
906.50574,0.11118102,6,11,942,951,960,969,978,987,996,1005,1014,1023,1032,1041,1050,1068,1086,1104,1131,1158,1194,1230,1266,1311,1356,1410,1473,1536,1590,1662,1806,1986,2256
912.1626,0.11041415,7,11,948,957,967,976,985,994,1003,1012,1021,1030,1039,1048,1057,1075,1093,1111,1139,1166,1202,1238,1274,1320,1365,1419,1483,1546,1600,1673,1818,1999,2271
912.10596,0.11134469,8,11,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1056,1074,1092,1110,1137,1164,1200,1235,1271,1316,1361,1415,1478,1541,1595,1667,1810,1990,2259
908.44385,0.11062083,9,11,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1053,1071,1089,1107,1134,1162,1198,1234,1270,1315,1360,1415,1478,1541,1595,1668,1812,1993,2264
916.37976,0.11175962,10,11,952,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1060,1077,1095,1113,1140,1167,1203,1238,1274,1319,1364,1417,1480,1543,1596,1668,1811,1990,2259
913.6517,0.1108642,11,11,950,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1058,1076,1094,1112,1139,1166,1202,1238,1274,1320,1365,1419,1482,1545,1599,1671,1816,1996,2267
924.6282,0.11043138,0,12,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1060,1070,1088,1106,1124,1151,1178,1214,1251,1287,1332,1377,1432,1495,1559,1613,1685,1830,2011,2283
920.30786,0.11039296,1,12,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1056,1065,1083,1101,1120,1147,1174,1210,1246,1283,1328,1373,1428,1491,1554,1609,1681,1826,2007,2279
920.2814,0.1102011,2,12,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1056,1065,1084,1102,1120,1147,1174,1211,1247,1283,1329,1374,1428,1492,1555,1610,1683,1828,2009,2281
927.99927,0.11024041,3,12,964,973,982,991,1001,1010,1019,1028,1037,1046,1055,1064,1073,1091,1109,1128,1155,1182,1218,1255,1291,1336,1382,1436,1499,1563,1617,1690,1835,2017,2289
931.4747,0.10955895,4,12,968,977,986,995,1004,1014,1023,1032,1041,1050,1059,1068,1078,1096,1114,1132,1160,1187,1224,1260,1297,1342,1388,1443,1507,1570,1625,1698,1844,2027,2301
913.7178,0.11138892,5,12,950,959,968,977,986,995,1003,1012,1021,1030,1039,1048,1057,1075,1093,1111,1138,1165,1201,1237,1273,1318,1363,1416,1479,1542,1596,1668,1811,1991,2260
927.4673,0.11033948,6,12,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1063,1072,1091,1109,1127,1154,1181,1217,1254,1290,1335,1381,1435,1498,1562,1616,1689,1834,2015,2287
925.02405,0.10969385,7,12,961,971,980,989,998,1007,1016,1025,1034,1044,1053,1062,1071,1089,1107,1126,1153,1180,1217,1253,1290,1335,1381,1436,1499,1563,1618,1691,1837,2019,2292
928.6605,0.10914848,8,12,965,974,984,993,1002,1011,1020,1029,1039,1048,1057,1066,1075,1094,1112,1130,1158,1185,1222,1258,1295,1341,1387,1442,1506,1570,1625,1698,1845,2028,2303
918.2399,0.1089214,9,12,955,964,973,983,992,1001,1010,1019,1028,1038,1047,1056,1065,1083,1102,1120,1148,1175,1212,1249,1285,1331,1377,1432,1497,1561,1616,1689,1836,2020,2295
915.86383,0.10966122,10,12,952,961,971,980,989,998,1007,1016,1025,1034,1044,1053,1062,1080,1098,1116,1144,1171,1208,1244,1281,1326,1372,1427,1490,1554,1609,1682,1828,2010,2284
923.2624,0.11003125,11,12,960,969,978,987,996,1005,1014,1023,1032,1041,1050,1060,1069,1087,1105,1123,1150,1178,1214,1250,1287,1332,1378,1432,1496,1559,1614,1687,1832,2014,2287
892.5707,0.10761856,0,13,930,939,948,958,967,976,985,995,1004,1013,1023,1032,1041,1060,1078,1097,1125,1153,1190,1227,1264,1311,1357,1413,1478,1543,1599,1673,1822,2008,2286
876.97943,0.10796906,1,13,914,923,933,942,951,960,970,979,988,997,1007,1016,1025,1044,1062,1081,1109,1136,1173,1210,1247,1294,1340,1396,1460,1525,1581,1655,1803,1988,2266
883.3577,0.107753925,2,13,920,930,939,948,958,967,976,985,995,1004,1013,1023,1032,1050,1069,1088,1115,1143,1180,1217,1255,1301,1347,1403,1468,1533,1589,1663,1811,1997,2275
892.28235,0.10785378,3,13,929,939,948,957,966,976,985,994,1004,1013,1022,1031,1041,1059,1078,1096,1124,1152,1189,1226,1263,1310,1356,1412,1476,1541,1597,1671,1819,2005,2283
883.1442,0.10773428,4,13,920,930,939,948,957,967,976,985,995,1004,1013,1022,1032,1050,1069,1087,1115,1143,1180,1217,1254,1301,1347,1403,1468,1533,1589,1663,1811,1997,2275
880.1406,0.108451724,5,13,917,926,935,945,954,963,972,982,991,1000,1009,1018,1028,1046,1065,1083,1111,1138,1175,1212,1249,1295,1341,1396,1461,1526,1581,1655,1802,1987,2263
891.4402,0.10956351,6,13,928,937,946,955,964,974,983,992,1001,1010,1019,1028,1037,1056,1074,1092,1120,1147,1184,1220,1257,1302,1348,1403,1466,1530,1585,1658,1804,1987,2261
885.22595,0.10711427,7,13,923,932,941,951,960,969,979,988,997,1007,1016,1025,1035,1053,1072,1091,1119,1147,1184,1221,1259,1305,1352,1408,1473,1539,1595,1669,1819,2006,2286
896.5936,0.10727974,8,13,934,943,953,962,971,980,990,999,1008,1018,1027,1036,1046,1064,1083,1102,1130,1158,1195,1232,1269,1316,1363,1419,1484,1549,1605,1680,1829,2015,2295
896.2535,0.10692104,9,13,934,943,952,962,971,980,990,999,1008,1018,1027,1037,1046,1065,1083,1102,1130,1158,1196,1233,1270,1317,1364,1420,1485,1551,1607,1682,1832,2019,2299
881.6503,0.10731289,10,13,919,928,938,947,956,966,975,984,993,1003,1012,1021,1031,1049,1068,1087,1115,1143,1180,1217,1254,1301,1348,1403,1469,1534,1590,1664,1814,2000,2279
876.90857,0.10791841,11,13,914,923,933,942,951,960,970,979,988,997,1007,1016,1025,1044,1062,1081,1109,1136,1173,1210,1248,1294,1340,1396,1461,1526,1581,1655,1804,1989,2267
876.443,0.108293235,0,14,913,923,932,941,950,960,969,978,987,996,1006,1015,1024,1043,1061,1080,1107,1135,1172,1209,1246,1292,1338,1394,1458,1523,1578,1652,1800,1985,2262
880.5826,0.10868008,1,14,917,927,936,945,954,963,973,982,991,1000,1009,1019,1028,1046,1065,1083,1111,1138,1175,1212,1249,1295,1341,1396,1460,1525,1580,1653,1801,1985,2261
882.96265,0.10883953,2,14,920,929,938,947,956,966,975,984,993,1002,1012,1021,1030,1048,1067,1085,1113,1140,1177,1214,1250,1296,1342,1397,1462,1526,1581,1655,1802,1986,2261
871.64166,0.10801594,3,14,909,918,927,936,946,955,964,973,983,992,1001,1011,1020,1038,1057,1075,1103,1131,1168,1205,1242,1288,1335,1390,1455,1520,1575,1649,1797,1983,2260
876.0604,0.10769971,4,14,913,922,932,941,950,960,969,978,987,997,1006,1015,1025,1043,1062,1080,1108,1136,1173,1210,1247,1294,1340,1396,1461,1526,1582,1656,1805,1990,2269
874.37915,0.108203046,5,14,911,921,930,939,948,958,967,976,985,995,1004,1013,1022,1041,1059,1078,1105,1133,1170,1207,1244,1290,1336,1392,1457,1521,1577,1651,1799,1983,2261
881.1166,0.107346065,6,14,918,928,937,946,956,965,974,984,993,1002,1012,1021,1030,1049,1067,1086,1114,1142,1179,1216,1254,1300,1347,1403,1468,1533,1589,1664,1813,1999,2278
879.73096,0.10774846,7,14,917,926,935,945,954,963,973,982,991,1000,1010,1019,1028,1047,1065,1084,1112,1140,1177,1214,1251,1297,1344,1399,1464,1529,1585,1659,1808,1993,2272
870.50525,0.10819601,8,14,907,917,926,935,944,954,963,972,981,991,1000,1009,1018,1037,1055,1074,1102,1129,1166,1203,1240,1286,1333,1388,1453,1517,1573,1647,1795,1980,2257
876.1932,0.10968154,9,14,913,922,931,940,949,958,967,976,986,995,1004,1013,1022,1040,1059,1077,1104,1131,1168,1204,1241,1286,1332,1387,1451,1514,1569,1642,1788,1970,2244
864.19556,0.10798252,10,14,901,910,920,929,938,948,957,966,975,985,994,1003,1012,1031,1049,1068,1096,1123,1161,1198,1235,1281,1327,1383,1448,1512,1568,1642,1790,1975,2253
874.07404,0.10801917,11,14,911,920,930,939,948,957,967,976,985,994,1004,1013,1022,1041,1059,1078,1106,1133,1170,1207,1244,1291,1337,1393,1457,1522,1578,1652,1800,1985,2263
900.2773,0.110830404,0,15,936,945,954,963,972,981,991,1000,1009,1018,1027,1036,1045,1063,1081,1099,1126,1153,1189,1225,1261,1306,1351,1406,1469,1532,1586,1658,1803,1983,2254
903.678,0.11139387,1,15,940,949,958,967,975,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1101,1128,1155,1191,1227,1263,1308,1353,1406,1469,1532,1586,1658,1801,1981,2250
901.7304,0.11206375,2,15,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1062,1080,1098,1125,1152,1187,1223,1259,1303,1348,1401,1464,1526,1580,1651,1794,1973,2240
904.2659,0.11146795,3,15,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1048,1066,1084,1102,1129,1155,1191,1227,1263,1308,1353,1407,1469,1532,1586,1658,1801,1981,2250
892.92804,0.11109565,4,15,929,938,947,956,965,974,983,992,1001,1010,1019,1028,1037,1055,1073,1091,1118,1145,1181,1217,1253,1298,1343,1397,1460,1523,1577,1649,1793,1973,2243
895.58704,0.11111215,5,15,932,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1058,1076,1094,1121,1148,1184,1220,1256,1301,1346,1400,1463,1526,1580,1652,1796,1976,2246
910.7584,0.11179883,6,15,947,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1072,1090,1108,1134,1161,1197,1233,1269,1313,1358,1412,1474,1537,1591,1662,1805,1984,2252
900.25385,0.11145128,7,15,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1151,1187,1223,1259,1304,1349,1403,1466,1528,1582,1654,1798,1977,2246
909.48474,0.111194566,8,15,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1053,1071,1089,1107,1134,1161,1197,1233,1269,1314,1359,1413,1476,1539,1593,1665,1809,1989,2258
910.6942,0.11132907,9,15,947,956,965,974,983,992,1001,1010,1018,1027,1036,1045,1054,1072,1090,1108,1135,1162,1198,1234,1270,1315,1360,1414,1477,1539,1593,1665,1809,1989,2258
900.4068,0.11051854,10,15,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1063,1081,1099,1127,1154,1190,1226,1262,1308,1353,1407,1470,1534,1588,1660,1805,1986,2258
898.76764,0.11063334,11,15,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1061,1080,1098,1125,1152,1188,1224,1260,1306,1351,1405,1468,1531,1586,1658,1803,1983,2255
907.98615,0.11205467,0,16,944,953,962,970,979,988,997,1006,1015,1024,1033,1042,1051,1069,1086,1104,1131,1158,1194,1229,1265,1310,1354,1408,1470,1533,1586,1658,1800,1979,2247
907.5028,0.111608155,1,16,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1069,1087,1105,1132,1158,1194,1230,1266,1311,1355,1409,1472,1535,1588,1660,1803,1983,2251
890.9543,0.11253069,2,16,927,935,944,953,962,971,980,989,998,1006,1015,1024,1033,1051,1069,1086,1113,1140,1175,1211,1246,1291,1335,1389,1451,1513,1566,1637,1780,1957,2224
908.80035,0.11148617,3,16,945,954,963,972,981,990,998,1007,1016,1025,1034,1043,1052,1070,1088,1106,1133,1160,1196,1232,1268,1312,1357,1411,1474,1537,1590,1662,1806,1985,2254
911.30316,0.11128363,4,16,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1055,1073,1091,1109,1136,1163,1199,1235,1271,1316,1361,1415,1477,1540,1594,1666,1810,1990,2259
914.8528,0.11264274,5,16,950,959,968,977,986,995,1004,1013,1021,1030,1039,1048,1057,1075,1092,1110,1137,1163,1199,1234,1270,1314,1359,1412,1474,1536,1590,1661,1803,1980,2246
904.5603,0.11236265,6,16,940,949,958,967,976,985,994,1002,1011,1020,1029,1038,1047,1065,1083,1100,1127,1154,1189,1225,1261,1305,1350,1403,1465,1528,1581,1652,1795,1973,2240
908.6649,0.11161091,7,16,945,953,962,971,980,989,998,1007,1016,1025,1034,1043,1052,1070,1088,1106,1133,1160,1195,1231,1267,1312,1357,1410,1473,1536,1590,1661,1805,1984,2253
911.19073,0.11128953,8,16,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1055,1073,1091,1109,1136,1163,1199,1235,1271,1316,1360,1414,1477,1540,1594,1666,1810,1989,2259
906.70654,0.11249768,9,16,942,951,960,969,978,987,996,1004,1013,1022,1031,1040,1049,1067,1084,1102,1129,1156,1191,1227,1262,1307,1351,1404,1467,1529,1582,1653,1796,1973,2240
908.00745,0.11146392,10,16,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1052,1069,1087,1105,1132,1159,1195,1231,1267,1312,1357,1410,1473,1536,1590,1662,1805,1985,2254
916.0117,0.113040246,11,16,951,960,969,978,987,996,1004,1013,1022,1031,1040,1049,1058,1075,1093,1111,1137,1164,1199,1234,1270,1314,1358,1411,1473,1535,1588,1659,1801,1978,2243
918.9927,0.11121102,0,17,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1063,1081,1099,1117,1144,1171,1207,1243,1279,1324,1369,1423,1485,1548,1602,1674,1818,1998,2268
924.4043,0.11211803,1,17,960,969,978,987,996,1005,1014,1023,1031,1040,1049,1058,1067,1085,1103,1121,1147,1174,1210,1245,1281,1326,1370,1424,1486,1549,1602,1674,1816,1995,2262
924.7759,0.110960975,2,17,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1060,1069,1087,1105,1123,1150,1177,1213,1249,1285,1330,1375,1429,1493,1556,1610,1682,1826,2006,2277
929.5596,0.11064712,3,17,966,975,984,993,1002,1011,1020,1029,1038,1047,1056,1065,1074,1092,1110,1128,1156,1183,1219,1255,1291,1336,1381,1436,1499,1562,1616,1689,1833,2014,2285
920.00604,0.11072462,4,17,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1055,1065,1083,1101,1119,1146,1173,1209,1245,1281,1326,1372,1426,1489,1552,1606,1679,1823,2004,2275
908.6011,0.112034865,5,17,944,953,962,971,980,989,998,1007,1016,1025,1034,1042,1051,1069,1087,1105,1132,1159,1194,1230,1266,1310,1355,1408,1471,1533,1587,1658,1801,1980,2247
922.18536,0.11111881,6,17,958,967,976,985,994,1003,1012,1021,1030,1039,1048,1057,1066,1084,1102,1120,1147,1174,1210,1246,1282,1327,1372,1426,1489,1552,1606,1678,1822,2002,2272
918.35077,0.110956855,7,17,954,963,972,981,990,999,1008,1017,1027,1036,1045,1054,1063,1081,1099,1117,1144,1171,1207,1243,1279,1324,1369,1423,1486,1549,1603,1675,1820,2000,2270
924.0218,0.110873446,8,17,960,969,978,987,996,1005,1014,1023,1032,1041,1050,1059,1068,1086,1104,1122,1150,1177,1213,1249,1285,1330,1375,1429,1492,1555,1609,1682,1826,2006,2277
914.7389,0.111907095,9,17,950,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1058,1076,1093,1111,1138,1165,1201,1236,1272,1317,1362,1415,1478,1540,1594,1665,1808,1987,2255
912.2303,0.11105713,10,17,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1056,1074,1092,1110,1137,1164,1200,1236,1272,1317,1362,1416,1480,1543,1597,1669,1813,1993,2263
913.89075,0.11178992,11,17,950,959,968,977,985,994,1003,1012,1021,1030,1039,1048,1057,1075,1093,1111,1138,1164,1200,1236,1272,1316,1361,1415,1477,1540,1594,1665,1808,1987,2256
920.1459,0.10960524,0,18,957,966,975,984,993,1002,1011,1021,1030,1039,1048,1057,1066,1084,1103,1121,1148,1176,1212,1249,1285,1331,1376,1431,1495,1559,1614,1687,1833,2015,2289
905.6993,0.10873675,1,18,942,952,961,970,979,988,998,1007,1016,1025,1034,1044,1053,1071,1090,1108,1136,1163,1200,1237,1274,1320,1366,1421,1485,1549,1605,1678,1825,2009,2285
918.3319,0.10890854,2,18,955,964,973,983,992,1001,1010,1019,1029,1038,1047,1056,1065,1084,1102,1120,1148,1175,1212,1249,1286,1332,1377,1433,1497,1561,1616,1690,1837,2020,2296
912.7756,0.10930787,3,18,949,959,968,977,986,995,1004,1013,1023,1032,1041,1050,1059,1077,1096,1114,1141,1169,1206,1242,1279,1324,1370,1425,1489,1553,1608,1681,1828,2011,2285
896.94824,0.10853549,4,18,934,943,952,961,971,980,989,998,1008,1017,1026,1035,1044,1063,1081,1100,1127,1155,1192,1229,1265,1312,1358,1413,1477,1542,1597,1671,1818,2003,2279
905.68634,0.10880934,5,18,942,952,961,970,979,988,998,1007,1016,1025,1034,1044,1053,1071,1089,1108,1135,1163,1200,1237,1273,1319,1365,1420,1485,1549,1604,1678,1825,2009,2284
914.2551,0.108740926,6,18,951,960,969,979,988,997,1006,1015,1025,1034,1043,1052,1061,1080,1098,1117,1144,1172,1209,1245,1282,1328,1374,1429,1494,1558,1613,1687,1834,2018,2294
914.72144,0.1082501,7,18,952,961,970,979,989,998,1007,1016,1026,1035,1044,1053,1063,1081,1099,1118,1146,1173,1210,1247,1284,1330,1377,1432,1497,1561,1617,1691,1839,2023,2300
909.0475,0.10856468,8,18,946,955,964,974,983,992,1001,1010,1020,1029,1038,1047,1056,1075,1093,1112,1139,1167,1204,1241,1277,1324,1370,1425,1489,1554,1609,1683,1830,2014,2291
902.49713,0.10941879,9,18,939,948,957,966,976,985,994,1003,1012,1021,1030,1040,1049,1067,1085,1104,1131,1158,1195,1232,1268,1314,1359,1414,1478,1542,1597,1670,1816,1999,2273
913.8767,0.109215066,10,18,951,960,969,978,987,996,1005,1015,1024,1033,1042,1051,1060,1079,1097,1115,1143,1170,1207,1244,1280,1326,1372,1427,1491,1555,1610,1683,1830,2013,2287
902.73004,0.10925954,11,18,939,948,958,967,976,985,994,1003,1013,1022,1031,1040,1049,1067,1086,1104,1132,1159,1196,1232,1269,1315,1360,1415,1479,1543,1598,1672,1818,2001,2276
916.5369,0.10990849,0,19,953,962,971,980,989,998,1008,1017,1026,1035,1044,1053,1062,1080,1099,1117,1144,1171,1208,1244,1280,1326,1371,1426,1490,1553,1608,1681,1826,2008,2281
930.80054,0.11023667,1,19,967,976,985,994,1003,1012,1022,1031,1040,1049,1058,1067,1076,1094,1112,1130,1158,1185,1221,1257,1294,1339,1384,1439,1502,1566,1620,1693,1838,2019,2292
907.22314,0.1108625,2,19,943,952,961,970,979,988,997,1006,1015,1024,1034,1043,1052,1070,1088,1106,1133,1160,1196,1232,1268,1313,1358,1412,1475,1539,1593,1665,1809,1990,2260
916.8198,0.11002667,3,19,953,962,971,980,990,999,1008,1017,1026,1035,1044,1053,1062,1080,1099,1117,1144,1171,1208,1244,1280,1326,1371,1426,1489,1553,1608,1680,1826,2007,2280
913.649,0.110633686,4,19,950,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1058,1076,1094,1113,1140,1167,1203,1239,1275,1320,1366,1420,1483,1546,1601,1673,1818,1998,2269
922.16125,0.10955186,5,19,959,968,977,986,995,1004,1013,1023,1032,1041,1050,1059,1068,1086,1105,1123,1150,1178,1214,1251,1287,1333,1379,1433,1497,1561,1616,1689,1835,2018,2291
931.4376,0.11031468,6,19,968,977,986,995,1004,1013,1022,1031,1040,1049,1058,1067,1076,1095,1113,1131,1158,1185,1222,1258,1294,1339,1385,1439,1503,1566,1620,1693,1838,2019,2291
913.3788,0.10933145,7,19,950,959,968,977,987,996,1005,1014,1023,1032,1041,1051,1060,1078,1096,1115,1142,1169,1206,1243,1279,1325,1371,1426,1490,1554,1609,1682,1828,2011,2285
925.4218,0.109057605,8,19,962,971,980,990,999,1008,1017,1026,1035,1045,1054,1063,1072,1090,1109,1127,1155,1182,1219,1256,1292,1338,1384,1439,1503,1567,1622,1696,1842,2026,2301
