#energy[keV]  rel.intensity
0.050000    0.000000E+00
0.150000    0.000000E+00
0.250000    0.000000E+00
0.350000    0.000000E+00
0.450000    0.000000E+00
0.550000    0.000000E+00
0.650000    0.000000E+00
0.750000    0.000000E+00
0.850000    0.000000E+00
0.950000    0.000000E+00
1.050000    0.000000E+00
1.150000    0.000000E+00
1.250000    0.000000E+00
1.350000    0.000000E+00
1.450000    0.000000E+00
1.550000    0.000000E+00
1.650000    0.000000E+00
1.750000    0.000000E+00
1.850000    0.000000E+00
1.950000    0.000000E+00
2.050000    0.000000E+00
2.150000    0.000000E+00
2.250000    0.000000E+00
2.350000    0.000000E+00
2.450000    0.000000E+00
2.550000    0.000000E+00
2.650000    0.000000E+00
2.750000    0.000000E+00
2.850000    0.000000E+00
2.950000    0.000000E+00
3.050000    0.000000E+00
3.150000    0.000000E+00
3.250000    0.000000E+00
3.350000    0.000000E+00
3.450000    0.000000E+00
3.550000    0.000000E+00
3.650000    0.000000E+00
3.750000    0.000000E+00
3.850000    0.000000E+00
3.950000    0.000000E+00
4.050000    0.000000E+00
4.150000    0.000000E+00
4.250000    0.000000E+00
4.350000    0.000000E+00
4.450000    0.000000E+00
4.550000    0.000000E+00
4.650000    0.000000E+00
4.750000    0.000000E+00
4.850000    0.000000E+00
4.950000    0.000000E+00
5.050000    0.000000E+00
5.150000    0.000000E+00
5.250000    0.000000E+00
5.350000    0.000000E+00
5.450000    0.000000E+00
5.550000    0.000000E+00
5.650000    0.000000E+00
5.750000    0.000000E+00
5.850000    0.000000E+00
5.950000    0.000000E+00
6.050000    0.000000E+00
6.150000    0.000000E+00
6.250000    0.000000E+00
6.350000    0.000000E+00
6.450000    0.000000E+00
6.550000    0.000000E+00
6.650000    0.000000E+00
6.750000    0.000000E+00
6.850000    0.000000E+00
6.950000    0.000000E+00
7.050000    0.000000E+00
7.150000    0.000000E+00
7.250000    0.000000E+00
7.350000    0.000000E+00
7.450000    0.000000E+00
7.550000    0.000000E+00
7.650000    0.000000E+00
7.750000    0.000000E+00
7.850000    0.000000E+00
7.950000    0.000000E+00
8.050000    0.000000E+00
8.150001    0.000000E+00
8.250000    0.000000E+00
8.350000    0.000000E+00
8.450000    0.000000E+00
8.550000    0.000000E+00
8.650001    0.000000E+00
8.750000    0.000000E+00
8.850000    0.000000E+00
8.950000    0.000000E+00
9.050000    0.000000E+00
9.150001    0.000000E+00
9.250000    0.000000E+00
9.350000    0.000000E+00
9.450000    0.000000E+00
9.550000    0.000000E+00
9.650001    0.000000E+00
9.750000    0.000000E+00
9.850000    0.000000E+00
9.950000    0.000000E+00
10.050000    0.000000E+00
10.150001    0.000000E+00
10.250000    0.000000E+00
10.350000    0.000000E+00
10.450000    0.000000E+00
10.550000    0.000000E+00
10.650001    0.000000E+00
10.750000    0.000000E+00
10.850000    0.000000E+00
10.950000    0.000000E+00
11.050000    0.000000E+00
11.150001    0.000000E+00
11.250000    0.000000E+00
11.350000    0.000000E+00
11.450000    0.000000E+00
11.550000    0.000000E+00
11.650001    0.000000E+00
11.750000    0.000000E+00
11.850000    0.000000E+00
11.950000    0.000000E+00
12.050000    0.000000E+00
12.150001    0.000000E+00
12.250000    0.000000E+00
12.350000    0.000000E+00
12.450000    0.000000E+00
12.550000    0.000000E+00
12.650001    0.000000E+00
12.750000    0.000000E+00
12.850000    0.000000E+00
12.950000    0.000000E+00
13.050000    0.000000E+00
13.150001    0.000000E+00
13.250000    0.000000E+00
13.350000    0.000000E+00
13.450000    0.000000E+00
13.550000    0.000000E+00
13.650001    0.000000E+00
13.750000    0.000000E+00
13.850000    0.000000E+00
13.950000    0.000000E+00
14.050000    0.000000E+00
14.150001    0.000000E+00
